layer,type,module,k,n,numel,quant,group_size,scale_format,bytes_w8,bytes_w4
backbone.stages.3.blocks.0.attn.w_msa.qkv,nn.Linear,vision_2d,768,2304,1769472,INT4 symmetric,128,13824 x fp16 group scales,1769472,912384
backbone.stages.3.blocks.0.ffn.layers.0.0,nn.Linear,vision_2d,768,3072,2359296,INT4 symmetric,128,18432 x fp16 group scales,2359296,1216512
backbone.stages.3.blocks.0.ffn.layers.1,nn.Linear,vision_2d,3072,768,2359296,INT4 symmetric,128,18432 x fp16 group scales,2359296,1216512
backbone.stages.3.blocks.1.attn.w_msa.proj,nn.Linear,vision_2d,768,768,589824,INT4 symmetric,128,4608 x fp16 group scales,589824,304128
backbone.stages.3.blocks.1.attn.w_msa.qkv,nn.Linear,vision_2d,768,2304,1769472,INT4 symmetric,128,13824 x fp16 group scales,1769472,912384
backbone.stages.3.blocks.1.ffn.layers.0.0,nn.Linear,vision_2d,768,3072,2359296,INT4 symmetric,128,18432 x fp16 group scales,2359296,1216512
backbone.stages.3.blocks.1.ffn.layers.1,nn.Linear,vision_2d,3072,768,2359296,INT4 symmetric,128,18432 x fp16 group scales,2359296,1216512
neck.convs.0.0,nn.Conv2d,neck_convs,192,256,49152,INT4 symmetric,-,1 x fp32 per-tensor scale,49152,24580
neck.convs.1.0,nn.Conv2d,neck_convs,384,256,98304,INT4 symmetric,-,1 x fp32 per-tensor scale,98304,49156
neck.convs.2.0,nn.Conv2d,neck_convs,768,256,196608,INT4 symmetric,-,1 x fp32 per-tensor scale,196608,98308
neck.extra_convs.0.0,nn.Conv2d,neck_convs,6912,256,1769472,INT4 symmetric,-,1 x fp32 per-tensor scale,1769472,884740
text_encoder.language_backbone.body.model.encoder.layer.0.attention.output.dense,nn.Linear,text_bert,768,768,589824,INT4 symmetric,-,1 x fp32 per-tensor scale,589824,294916
text_encoder.language_backbone.body.model.encoder.layer.0.attention.self.key,nn.Linear,text_bert,768,768,589824,INT4 symmetric,-,1 x fp32 per-tensor scale,589824,294916
text_encoder.language_backbone.body.model.encoder.layer.0.attention.self.query,nn.Linear,text_bert,768,768,589824,INT4 symmetric,-,1 x fp32 per-tensor scale,589824,294916
text_encoder.language_backbone.body.model.encoder.layer.0.attention.self.value,nn.Linear,text_bert,768,768,589824,INT4 symmetric,-,1 x fp32 per-tensor scale,589824,294916
text_encoder.language_backbone.body.model.encoder.layer.0.intermediate.dense,nn.Linear,text_bert,768,3072,2359296,INT4 symmetric,-,1 x fp32 per-tensor scale,2359296,1179652
text_encoder.language_backbone.body.model.encoder.layer.0.output.dense,nn.Linear,text_bert,3072,768,2359296,INT4 symmetric,-,1 x fp32 per-tensor scale,2359296,1179652
text_encoder.language_backbone.body.model.encoder.layer.1.attention.output.dense,nn.Linear,text_bert,768,768,589824,INT4 symmetric,-,1 x fp32 per-tensor scale,589824,294916
text_encoder.language_backbone.body.model.encoder.layer.1.attention.self.key,nn.Linear,text_bert,768,768,589824,INT4 symmetric,-,1 x fp32 per-tensor scale,589824,294916
text_encoder.language_backbone.body.model.encoder.layer.1.attention.self.query,nn.Linear,text_bert,768,768,589824,INT4 symmetric,-,1 x fp32 per-tensor scale,589824,294916
text_encoder.language_backbone.body.model.encoder.layer.1.attention.self.value,nn.Linear,text_bert,768,768,589824,INT4 symmetric,-,1 x fp32 per-tensor scale,589824,294916
text_encoder.language_backbone.body.model.encoder.layer.1.intermediate.dense,nn.Linear,text_bert,768,3072,2359296,INT4 symmetric,-,1 x fp32 per-tensor scale,2359296,1179652
text_encoder.language_backbone.body.model.encoder.layer.1.output.dense,nn.Linear,text_bert,3072,768,2359296,INT4 symmetric,-,1 x fp32 per-tensor scale,2359296,1179652
text_encoder.language_backbone.body.model.encoder.layer.10.attention.output.dense,nn.Linear,text_bert,768,768,589824,INT4 symmetric,-,1 x fp32 per-tensor scale,589824,294916
text_encoder.language_backbone.body.model.encoder.layer.10.attention.self.key,nn.Linear,text_bert,768,768,589824,INT4 symmetric,-,1 x fp32 per-tensor scale,589824,294916
text_encoder.language_backbone.body.model.encoder.layer.10.attention.self.query,nn.Linear,text_bert,768,768,589824,INT4 symmetric,-,1 x fp32 per-tensor scale,589824,294916
text_encoder.language_backbone.body.model.encoder.layer.10.attention.self.value,nn.Linear,text_bert,768,768,589824,INT4 symmetric,-,1 x fp32 per-tensor scale,589824,294916
text_encoder.language_backbone.body.model.encoder.layer.10.intermediate.dense,nn.Linear,text_bert,768,3072,2359296,INT4 symmetric,-,1 x fp32 per-tensor scale,2359296,1179652
text_encoder.language_backbone.body.model.encoder.layer.10.output.dense,nn.Linear,text_bert,3072,768,2359296,INT4 symmetric,-,1 x fp32 per-tensor scale,2359296,1179652
